,exp_name,env_name,seed,metric,env_step,value
374,fog,quadruped-run,35,avg_return,375000.0,925.6
375,fog,quadruped-run,35,avg_return,400000.0,937.8
376,fog,quadruped-run,35,avg_return,425000.0,822.8
377,fog,quadruped-run,35,avg_return,450000.0,882.4
378,fog,quadruped-run,35,avg_return,475000.0,925.1
379,fog,quadruped-run,35,avg_return,500000.0,913.6
380,fog,quadruped-run,35,avg_return,525000.0,930.0
381,fog,quadruped-run,35,avg_return,550000.0,943.5
382,fog,quadruped-run,35,avg_return,575000.0,936.9
383,fog,quadruped-run,35,avg_return,600000.0,907.4
384,fog,quadruped-run,35,avg_return,625000.0,890.7
385,fog,quadruped-run,35,avg_return,650000.0,918.5
386,fog,quadruped-run,35,avg_return,675000.0,927.7
387,fog,quadruped-run,35,avg_return,700000.0,921.0
388,fog,quadruped-run,35,avg_return,725000.0,937.7
389,fog,quadruped-run,35,avg_return,750000.0,917.9
390,fog,quadruped-run,35,avg_return,775000.0,929.1
391,fog,quadruped-run,35,avg_return,800000.0,952.7
392,fog,quadruped-run,35,avg_return,825000.0,897.8
393,fog,quadruped-run,35,avg_return,850000.0,947.6
394,fog,quadruped-run,35,avg_return,875000.0,938.0
395,fog,quadruped-run,35,avg_return,900000.0,950.2
396,fog,quadruped-run,35,avg_return,925000.0,932.0
397,fog,quadruped-run,35,avg_return,950000.0,955.3
398,fog,quadruped-run,35,avg_return,975000.0,939.0
399,fog,quadruped-run,35,avg_return,1000000.0,942.3
400,fog,h1-balance_simple-v0,34,avg_return,25000.0,35.8
401,fog,h1-balance_simple-v0,34,avg_return,50000.0,55.5
402,fog,h1-balance_simple-v0,34,avg_return,75000.0,84.1
403,fog,h1-balance_simple-v0,34,avg_return,100000.0,91.6
404,fog,h1-balance_simple-v0,34,avg_return,125000.0,115.2
405,fog,h1-balance_simple-v0,34,avg_return,150000.0,144.0
406,fog,h1-balance_simple-v0,34,avg_return,175000.0,139.0
407,fog,h1-balance_simple-v0,34,avg_return,200000.0,171.1
408,fog,h1-balance_simple-v0,34,avg_return,225000.0,196.7
409,fog,h1-balance_simple-v0,34,avg_return,250000.0,202.1
410,fog,h1-balance_simple-v0,34,avg_return,275000.0,147.3
411,fog,h1-balance_simple-v0,34,avg_return,300000.0,233.6
412,fog,h1-balance_simple-v0,34,avg_return,325000.0,246.1
413,fog,h1-balance_simple-v0,34,avg_return,350000.0,284.5
414,fog,h1-balance_simple-v0,34,avg_return,375000.0,375.9
415,fog,h1-balance_simple-v0,34,avg_return,400000.0,271.4
416,fog,h1-balance_simple-v0,34,avg_return,425000.0,452.9
417,fog,h1-balance_simple-v0,34,avg_return,450000.0,486.1
418,fog,h1-balance_simple-v0,34,avg_return,475000.0,587.9
419,fog,h1-balance_simple-v0,34,avg_return,500000.0,637.4
420,fog,h1-balance_simple-v0,34,avg_return,525000.0,98.3
421,fog,h1-balance_simple-v0,34,avg_return,550000.0,129.1
422,fog,h1-balance_simple-v0,34,avg_return,575000.0,285.9
423,fog,h1-balance_simple-v0,34,avg_return,600000.0,262.9
424,fog,h1-balance_simple-v0,34,avg_return,625000.0,382.5
425,fog,h1-balance_simple-v0,34,avg_return,650000.0,470.1
426,fog,h1-balance_simple-v0,34,avg_return,675000.0,614.9
427,fog,h1-balance_simple-v0,34,avg_return,700000.0,490.1
428,fog,h1-balance_simple-v0,34,avg_return,725000.0,528.6
429,fog,h1-balance_simple-v0,34,avg_return,750000.0,663.4
430,fog,h1-balance_simple-v0,34,avg_return,775000.0,93.5
431,fog,h1-balance_simple-v0,34,avg_return,800000.0,112.1
432,fog,h1-balance_simple-v0,34,avg_return,825000.0,265.6
433,fog,h1-balance_simple-v0,34,avg_return,850000.0,170.2
434,fog,h1-balance_simple-v0,34,avg_return,875000.0,430.6
435,fog,h1-balance_simple-v0,34,avg_return,900000.0,587.1
